source,source_normalized,kanon
"Bücher, Filme, Musik & Spiele (keine Downloads)","bücher, filme, musik und spiele (keine downloads)",Bücher / Medien / Software
"Bücher, Hörbücher","bücher, hörbücher",Bücher / Medien / Software
Musik / Filme auf CD / DVD / Blu-ray,musik / filme auf cd / dvd / blu ray,Bücher / Medien / Software
Software,software,Bücher / Medien / Software
"Computer: Desktop-PC, Tablet, Laptop","computer: desktop pc, tablet, laptop","Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Consumer Electronics/Elektrogeräte,consumer electronics/elektrogeräte,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Elektronische Haushaltsgeräte,elektronische haushaltsgeräte,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Elektrozubehör,elektrozubehör,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Haushaltsgeräte,haushaltsgeräte,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Smartphones / Handys,smartphones / handys,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
Unterhaltungselektronik,unterhaltungselektronik,"Elektronik (z. B. Smartphones, Haushaltsgeräte)"
"Unterhaltungselektronik (z. B. Fernseher, Smartphones)","unterhaltungselektronik (z. b. fernseher, smartphones)","Elektronik (z. B. Smartphones, Haushaltsgeräte)"
"DIY, Heimwerker- und Gartenbedarf","diy, heimwerker und gartenbedarf",Hobby- & Freizeitartikel
Freizeit,freizeit,Hobby- & Freizeitartikel
Gartengeräte,gartengeräte,Hobby- & Freizeitartikel
Heimwerken & Garten,heimwerken und garten,Hobby- & Freizeitartikel
Heimwerkerbedarf,heimwerkerbedarf,Hobby- & Freizeitartikel
Hobby & Schreibwaren,hobby und schreibwaren,Hobby- & Freizeitartikel
Spielzeug & Babyprodukte,spielzeug und babyprodukte,Hobby- & Freizeitartikel
Spielzeug / Spiele,spielzeug / spiele,Hobby- & Freizeitartikel
Sport- & Outdoor-Artikel,sport und outdoor artikel,Hobby- & Freizeitartikel
Sport- und Outdoorausrüstung,sport und outdoorausrüstung,Hobby- & Freizeitartikel
Accessoires,accessoires,Kleidung / Schuhe
Bekleidung,bekleidung,Kleidung / Schuhe
Fashion & Accessoires,fashion und accessoires,Kleidung / Schuhe
"Kleidung, Schuhe, Accessoires","kleidung, schuhe, accessoires",Kleidung / Schuhe
Schuhe,schuhe,Kleidung / Schuhe
Getränke,getränke,Lebensmittel / Getränke
Lebensmittel,lebensmittel,Lebensmittel / Getränke
Lebensmittel und Getränke (ausgenommen Lieferungen von Restaurants),lebensmittel und getränke (ausgenommen lieferungen von restaurants),Lebensmittel / Getränke
"Lebensmittel, Getränke","lebensmittel, getränke",Lebensmittel / Getränke
Drogerie & Gesundheit,drogerie und gesundheit,Medikamente / Drogerieartikel
Kosmetik & Drogerie,kosmetik und drogerie,Medikamente / Drogerieartikel
Kosmetik & Körperpflege,kosmetik und körperpflege,Medikamente / Drogerieartikel
"Kosmetik, Parfum und Pflegeprodukte","kosmetik, parfum und pflegeprodukte",Medikamente / Drogerieartikel
Medikamente,medikamente,Medikamente / Drogerieartikel
Medikamente & Gesundheit,medikamente und gesundheit,Medikamente / Drogerieartikel
Möbel & Haushaltswaren,möbel und haushaltswaren,Möbel / Wohnaccessoires
"Möbel, Wohnen und Dekoration","möbel, wohnen und dekoration",Möbel / Wohnaccessoires
Wohnen & Einrichten,wohnen und einrichten,Möbel / Wohnaccessoires
