year,Kategorie,value
2021,"Elektronik (z. B. Smartphones, Haushaltsgeräte)",38
2021,Hobby- & Freizeitartikel,83
2021,Kleidung / Schuhe,57
2021,Lebensmittel / Getränke,33
2021,Medikamente / Drogerieartikel,78
2021,Möbel / Wohnaccessoires,38
2022,Bücher / Medien / Software,92
2022,"Elektronik (z. B. Smartphones, Haushaltsgeräte)",145
2022,Hobby- & Freizeitartikel,71
2022,Kleidung / Schuhe,78
2022,Lebensmittel / Getränke,28
2022,Medikamente / Drogerieartikel,92
2022,Möbel / Wohnaccessoires,32
2024,Bücher / Medien / Software,25
2024,"Elektronik (z. B. Smartphones, Haushaltsgeräte)",38
2024,Hobby- & Freizeitartikel,57
2024,Kleidung / Schuhe,106
2024,Lebensmittel / Getränke,16
2024,Medikamente / Drogerieartikel,51
2024,Möbel / Wohnaccessoires,15
